dataset_id,dataset_name,dataset_category,field_count,coverage,date_coverage,value_score,pyramid_multiplier,date_updated,variant_id,variant_path,variant_evidence
analyst10,Performance-Weighted Analyst Estimates,Analyst,601,0.6023,1.0,5.0,1.9,2026-04-01,analyst10__fc601,reports/data_fields/all_scopes/variants/analyst10__fc601.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst14,Estimations of Key Fundamentals,Analyst,6,0.4703,,3.0,1.9,2024-12-01,analyst14__fc6,reports/data_fields/all_scopes/variants/analyst14__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst16,Real Time Estimates,Analyst,94,0.8047,1.0,5.0,1.9,2026-03-01,analyst16__fc94,reports/data_fields/all_scopes/variants/analyst16__fc94.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst4,Analyst Estimate Data for Equity,Analyst,48,0.5646,1.0,3.0,1.9,2026-03-01,analyst4__fc48,reports/data_fields/all_scopes/variants/analyst4__fc48.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst45,Analyst Trade Ideas,Analyst,114,0.5267,0.9507,5.0,1.9,2025-10-01,analyst45__fc114,reports/data_fields/all_scopes/variants/analyst45__fc114.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst72,Corporate Earning Estimates Data,Analyst,45,0.942,0.9507,6.0,1.9,2026-03-01,analyst72__fc45,reports/data_fields/all_scopes/variants/analyst72__fc45.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst9,Analyst Estimate Daily Data,Analyst,11,0.6996,0.9507,4.0,1.9,2025-11-01,analyst9__fc11,reports/data_fields/all_scopes/variants/analyst9__fc11.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst94,Fundamental Income and Dividend Model,Analyst,34,0.5992,0.9507,2.0,1.9,2026-03-01,analyst94__fc34,reports/data_fields/all_scopes/variants/analyst94__fc34.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
analyst_base_ref,Analyst Estimates Base Reference,Analyst,4,0.864,0.9507,6.0,1.9,2026-03-01,analyst_base_ref__fc4,reports/data_fields/all_scopes/variants/analyst_base_ref__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
equity_forum_data,International Equity Forum Activity,Other,6,0.9005,0.9507,7.0,1.7,2026-03-01,equity_forum_data__fc6,reports/data_fields/all_scopes/variants/equity_forum_data__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
event_stock_model,Corporate Event Driven Stock Model,Model,3,0.9207,0.9507,6.0,1.9,2026-03-01,event_stock_model__fc3,reports/data_fields/all_scopes/variants/event_stock_model__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental21,ESG Scores Data,Fundamental,168,0.7405,1.0,5.0,1.9,2026-03-01,fundamental21__fc168,reports/data_fields/all_scopes/variants/fundamental21__fc168.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
fundamental90,"Governance, Accounting, Management, and Equality",Fundamental,131,0.8584,0.9507,5.0,1.9,2025-11-01,fundamental90__fc131,reports/data_fields/all_scopes/variants/fundamental90__fc131.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
imbalance5,Oil Price Resilience Scores,Imbalance,2,0.922,0.9507,2.0,1.2,2025-07-01,imbalance5__fc2,reports/data_fields/all_scopes/variants/imbalance5__fc2.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model170,Asia Technical and Fundamental ranking model,Model,22,0.9507,0.925,6.0,1.9,2025-10-01,model170__fc22,reports/data_fields/all_scopes/variants/model170__fc22.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model176,Non-Financial Metric Models,Model,122,0.1945,0.9507,6.0,1.9,2025-11-01,model176__fc122,reports/data_fields/all_scopes/variants/model176__fc122.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model216,Analyst Revisions Model Data,Model,88,0.7526,0.7256,5.0,1.9,2025-11-01,model216__fc88,reports/data_fields/all_scopes/variants/model216__fc88.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model242,Global Quantitative Stock Selection Data,Model,5,0.9893,0.9507,4.0,1.9,2026-03-01,model242__fc5,reports/data_fields/all_scopes/variants/model242__fc5.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model25,Earnings Quality,Model,6,0.7501,1.0,3.0,1.9,2026-04-01,model25__fc6,reports/data_fields/all_scopes/variants/model25__fc6.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model252,Systematic Hedging for Investors to Evade Large Drawdowns,Model,3,0.9171,1.0,4.0,1.9,2025-10-01,model252__fc3,reports/data_fields/all_scopes/variants/model252__fc3.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model257,International sentiment analysis NLP model,Model,5,0.5202,0.9507,7.0,1.9,2026-03-01,model257__fc5,reports/data_fields/all_scopes/variants/model257__fc5.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model262,DNN prediction of fundamentals,Model,27,0.8491,1.0,5.0,1.9,2025-11-01,model262__fc27,reports/data_fields/all_scopes/variants/model262__fc27.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model28,Structural Credit Risk Model,Model,20,0.898,1.0,5.0,1.9,2026-03-01,model28__fc20,reports/data_fields/all_scopes/variants/model28__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model37,Text Mining Data,Model,27,0.9103,0.9507,6.0,1.9,2025-11-01,model37__fc27,reports/data_fields/all_scopes/variants/model37__fc27.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
model68,Risk-Alleviated Momentum Scores,Model,4,0.9204,0.9507,7.0,1.9,2025-07-01,model68__fc4,reports/data_fields/all_scopes/variants/model68__fc4.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news104,Archive News Data,News,21,0.8433,0.9507,4.0,1.9,2025-11-01,news104__fc21,reports/data_fields/all_scopes/variants/news104__fc21.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news17,PR Edition Data,News,19,0.4817,0.9507,4.0,1.9,2025-11-01,news17__fc19,reports/data_fields/all_scopes/variants/news17__fc19.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news18,Ravenpack News Data,News,14,0.4847,,2.0,1.9,2025-07-01,news18__fc14,reports/data_fields/all_scopes/variants/news18__fc14.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
news20,Web Sources News Sentiment Data,News,20,0.5631,,5.0,1.9,2025-07-01,news20__fc20,reports/data_fields/all_scopes/variants/news20__fc20.csv,OFFICIAL_DATASET_FIELDCOUNT_GROUP
