source_path,category,recommended_action,bytes,modified_utc,hash_status,sha256
reports/material_manager_M20260601_03a37b.json,GENERATED_HISTORY,INDEX_ONLY,6362,2026-06-01T12:48:22+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_03a37b.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:48:22+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_06b9de.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_06b9de.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_176ab0.json,GENERATED_HISTORY,INDEX_ONLY,4002,2026-06-01T12:47:58+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_176ab0.md,GENERATED_HISTORY,INDEX_ONLY,624,2026-06-01T12:47:58+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_2b9466.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-06-01T12:48:02+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_2b9466.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:48:02+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_4e67c3.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-06-01T12:48:04+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_4e67c3.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:48:04+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_5bed57.json,GENERATED_HISTORY,INDEX_ONLY,4969,2026-06-01T12:48:20+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_5bed57.md,GENERATED_HISTORY,INDEX_ONLY,499,2026-06-01T12:48:20+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_78f805.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-06-01T12:47:58+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_78f805.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:47:58+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_7ba6b9.json,GENERATED_HISTORY,INDEX_ONLY,4001,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_7ba6b9.md,GENERATED_HISTORY,INDEX_ONLY,623,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_b69448.json,GENERATED_HISTORY,INDEX_ONLY,6300,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_b69448.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_e5b8a0.json,GENERATED_HISTORY,INDEX_ONLY,4001,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_e5b8a0.md,GENERATED_HISTORY,INDEX_ONLY,623,2026-06-01T12:48:00+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_f75867.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-06-01T12:48:02+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260601_f75867.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-06-01T12:48:02+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_06b9de.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-13T13:36:42+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_06b9de.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-13T13:36:42+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_176ab0.json,GENERATED_HISTORY,INDEX_ONLY,4002,2026-07-13T13:36:38+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_176ab0.md,GENERATED_HISTORY,INDEX_ONLY,624,2026-07-13T13:36:38+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_2b9466.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-13T13:36:46+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_2b9466.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-13T13:36:46+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_4e67c3.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-13T13:36:48+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_4e67c3.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-13T13:36:48+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_78f805.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-13T13:36:38+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_78f805.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-13T13:36:38+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_7ba6b9.json,GENERATED_HISTORY,INDEX_ONLY,4001,2026-07-13T13:36:38+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_7ba6b9.md,GENERATED_HISTORY,INDEX_ONLY,623,2026-07-13T13:36:38+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_b69448.json,GENERATED_HISTORY,INDEX_ONLY,6300,2026-07-13T13:36:40+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_b69448.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-13T13:36:40+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_e5b8a0.json,GENERATED_HISTORY,INDEX_ONLY,4001,2026-07-13T13:36:40+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_e5b8a0.md,GENERATED_HISTORY,INDEX_ONLY,623,2026-07-13T13:36:40+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_f75867.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-13T13:36:44+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260713_f75867.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-13T13:36:44+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_06b9de.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-16T08:44:04+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_06b9de.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-16T08:44:04+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_176ab0.json,GENERATED_HISTORY,INDEX_ONLY,4002,2026-07-16T08:43:58+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_176ab0.md,GENERATED_HISTORY,INDEX_ONLY,624,2026-07-16T08:43:58+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_2b9466.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-16T08:44:06+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_2b9466.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-16T08:44:06+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_4e67c3.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-16T08:44:08+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_4e67c3.md,GENERATED_HISTORY,INDEX_ONLY,510,2026-07-16T08:44:08+00:00,SKIPPED_INDEX_ONLY,
reports/material_manager_M20260716_78f805.json,GENERATED_HISTORY,INDEX_ONLY,6302,2026-07-16T08:43:58+00:00,SKIPPED_INDEX_ONLY,
